,dataset,matrix,sibling_count,data_size,vocab_size,config,is_pre
190,Benign,blosum45,1959,30727,1600,0.7_3_12_0.005,False
191,Benign,blosum45,572,30727,800,0.8_3_12_0,False
192,Benign,blosum45,4565,30727,51200,0.7_3_12_0.1,False
193,Benign,blosum45,780,30727,51200,0.9_3_12_0.05,False
194,Benign,blosum45,584,30727,800,0.8_3_12_0.2,False
195,Benign,blosum45,411,30727,12800,0.9_3_12_0,False
196,Benign,blosum45,572,30727,800,0.8_3_12_0.005,False
197,Benign,blosum45,793,30727,51200,0.9_3_12_0.1,False
198,Benign,blosum45,4735,30727,51200,0.7_3_12_0.005,False
199,Benign,blosum45,2647,30727,3200,0.7_3_12_0,False
200,Benign,blosum45,3429,30727,12800,0.7_3_12_0.2,False
201,Benign,blosum45,2467,30727,25600,0.8_3_12_0.2,False
202,Benign,blosum45,122,30727,3200,0.9_3_12_0.005,False
203,Benign,blosum45,54,30727,1600,0.9_3_12_0.05,False
204,Benign,blosum45,620,30727,25600,0.9_3_12_0.05,False
205,Benign,blosum45,251,30727,6400,0.9_3_12_0.005,False
206,Benign,blosum45,1912,30727,1600,0.7_3_12_0.2,False
207,Benign,blosum45,3171,30727,6400,0.7_3_12_0,False
208,Benign,blosum45,2226,30727,12800,0.8_3_12_0.1,False
209,Benign,blosum45,4200,30727,25600,0.7_3_12_0.1,False
210,Benign,blosum45,416,30727,12800,0.9_3_12_0.2,False
211,Benign,blosum45,2031,30727,1600,0.7_3_12_0.1,False
212,Benign,blosum45,2024,30727,1600,0.7_3_12_0.05,False
213,Benign,blosum45,623,30727,25600,0.9_3_12_0.1,False
214,Benign,blosum45,2292,30727,12800,0.8_3_12_0.005,False
215,Benign,blosum45,3076,30727,51200,0.8_3_12_0.05,False
216,Benign,blosum45,25,30727,800,0.9_3_12_0.2,False
217,Benign,blosum45,1400,30727,3200,0.8_3_12_0.1,False
218,Benign,blosum45,1844,30727,6400,0.8_3_12_0.1,False
219,Benign,blosum45,1720,30727,6400,0.8_3_12_0.2,False
220,Benign,blosum45,1201,30727,800,0.7_3_12_0.1,False
